시간,작전목표,지휘관 위도,달성률,작전 제한사항
2,적군 타격,적군에게 포사격으로 접근 제압,0,없음
3,적군 타격,적군에게 포사격으로 접근 제압,100,없음
5,적군 기동지연,포사격으로 적군 기동 지연,0,없음
6,적군 기동지연,포사격으로 적군 기동 지연,100,없음
7,서쪽 적 고립,집중 포사격으로 서쪽부대 고립 후 주 진격축을 동쪽으로 전환하도록 유도,0,없음
9,서쪽 적 고립,집중 포사격으로 서쪽부대 고립 후 주 진격축을 동쪽으로 전환하도록 유도,40,없음
10,서쪽 적 고립,집중 포사격으로 서쪽부대 고립 후 주 진격축을 동쪽으로 전환하도록 유도,80,없음
11,서쪽 적 고립,집중 포사격으로 서쪽부대 고립 후 주 진격축을 동쪽으로 전환하도록 유도,100,없음
12,살상지역 적 모두 파괴,주 진격축인 동쪽부대가 살상지역 도착시 선두부대와 후속부대 모두 파괴,0,없음
15,살상지역 적 모두 파괴,주 진격축인 동쪽부대가 살상지역 도착시 선두부대와 후속부대 모두 파괴,60,없음
18,살상지역 적 모두 파괴,주 진격축인 동쪽부대가 살상지역 도착시 선두부대와 후속부대 모두 파괴,80,없음
19,살상지역 적 모두 파괴,주 진격축인 동쪽부대가 살상지역 도착시 선두부대와 후속부대 모두 파괴,100,없음
