사건ID,시간,종류,관련부대,상세내용,중요도
e_001,0,준비,"kpa_001, kpa_002, kpa_003, kpa_004, kpa_005, kpa_006, kpa_007, kpa_008, kpa_009, kpa_010, kpa_011, kpa_012",kpa의 모든 부대가 작전 위치에서 대기,1
e_002,2,사격,"kpa_010, rok_001, rok_002, rok_003",kpa 자주포 부대가 장거리 사격을 이용하여 rok 부대에 포사격 개시,3
e_003,3,손실,"rok_001, rok_002, rok_003",포사격으로 적 부대 접근을 제압,3
e_004,4,기동,"rok_001, rok_002, rok_003",진격축을 따라 동쪽과 서쪽 부대가 기동,2
e_005,5,사격,"kpa_003, kpa_004, kpa_006, kpa_007, rok_001, rok_002, rok_003",아군이 적부대에게 포사격 개시,3
e_006,6,기동지연,"rok_001, rok_002, rok_003",아군의 지연행동이 적군에게 피해를 입히고 전진속도 둔화,3
e_007,7,기동,"kpa_003, kpa_004, kpa_006, kpa_007",아군이 압박하에 철수하며 방어실패처럼 교란작전을 펼침,4
e_008,8,기동,"kpa_003, kpa_004, kpa_006, kpa_007, rok_001, rok_002, rok_003",아군은 압박하에 계속 철수하고 적은 급속도로 북쪽으로 진격,2
e_009,9,기동,"kpa_003, kpa_004, kpa_006, kpa_007, rok_001, rok_002, rok_003",아군은 압박하에 계속 철수하고 적은 급속도로 북쪽으로 진격,2
e_010,10,사격,"kpa_003, kpa_004, kpa_005",아군이 서쪽부대에 집중 포사격 개시,4
e_011,10,기동,"rok_002, rok_003",아군의 교란에 속아 급속도로 북쪽으로 진격 유지,2
e_012,11,손실,rok_001,아군의 집중포사격으로 서쪽부대는 고립상태에 빠짐,4
e_013,11,기동,"rok_002, rok_003",서쪽부대의 고립으로 주 공격제대를 동쪽으로 전환 후 급속도로 북쪽으로 진격 유지,5
e_014,12,기동,"rok_002, rok_003","주 공격제대인 동쪽부대가 급속도로 북쪽으로 진격 유지, 아군은 의도적으로 적군과 접촉 유지",2
e_015,13,기동,"rok_002, rok_003","적은 동쪽에서 급속히 진격 유지, 아군은 의도적으로 북쪽과 측면에서 경미한 접촉 유지",2
e_016,14,사격,"kpa_001, kpa_002, kpa_006, kpa_011, kpa_012, rok_001",아군이 kill zone에 도착한 적 선두부대를 파괴하기 위해 직접 및 간접 집중사격 개시,4
e_017,15,손실,rok_002,적군 선두부대 전멸,4
e_018,16,사격,kpa_001,kill zone에 도착한 후속부대에 역습 개시,3
e_019,17,사격,"kpa_001, kpa_006, kpa_007, kpa_008, kpa_009",화력공격 및 대전차 방어를 이용해서 적 부대를 고착화 및 파괴 개시,3
e_020,18,손실,rok_003,아군의 공격으로 무력화 및 고립,4
e_021,18,사격,"kpa_001, kpa_006, kpa_007, kpa_008, kpa_009",남은 적에게 매복공격 및 직접 간접화력 공격 개시,3
e_022,19,손실,rok_003,동쪽 주 공격부대 전멸,4
