사건ID,시간,종류,관련부대,상세내용,중요도
e_001,0,준비,"kpa_001, kpa_002, kpa_003, kpa_004, kpa_005, kpa_006, kpa_007",kpa의 모든 부대가 작전 위치에서 대기,1
e_002,1,기동,"kpa_002, kpa_003",kpa 보안요소 2개의 부대가 기동하며 적 탐지,2
e_003,2,기동,"kpa_002, kpa_003",kpa 보안요소 2개의 부대가 기동하며 적 탐지,2
e_004,3,탐지,"kpa_002, rok_001, rok_002",kpa_002가 rok_001과 rok_002를 탐지 후 kpa_001에게 지속적으로 보고,3
e_005,4,탐지,"kpa_003, rok_003",kpa_003이 rok_003을 탐지 후 kpa_001에게 보고,3
e_006,6,교전,"kpa_003, kpa_004, kpa_005, rok_002, rok_003","kpa_004, kpa_005와 rok_002, rok_003의 교전, kpa_003이 측면에서 추가 공격",5
e_007,7,파괴,"rok_002, rok_003",교전에 의해 파괴,4
e_008,7,손실,"kpa_004, kpa_005",교전으로 손실,4
e_009,9,사격,kpa_006,kpa_001의 지시로 rok_001근처에 박격포 사격 개시,4
e_010,10,손실,rok_001,박격포 사격으로 치명적 손상,4
e_011,11,기동,"kpa_001, kpa_002, kpa_003, kpa_004, kpa_005, kpa_007",교전지역을 우회해 진격축을 따라 기동,2
e_012,12,기동,"kpa_001, kpa_002, kpa_003, kpa_004, kpa_005, kpa_007",교전지역을 우회해 진격축을 따라 기동,2
e_013,13,기동,"kpa_001, kpa_002, kpa_003, kpa_004, kpa_005, kpa_007",교전지역을 우회해 진격축을 따라 기동,2
e_014,14,기동,"kpa_001, kpa_002, kpa_003, kpa_004, kpa_005, kpa_007",교전지역을 우회해 진격축을 따라 기동,2
e_015,15,기동,"kpa_001, kpa_002, kpa_003, kpa_004, kpa_005, kpa_007",교전지역을 우회해 진격축을 따라 기동,2
